Stock Name,Ticker,Trendlyne ID,Research Report URL,MarketCap,Industry Name,Sector Name,BSE Ticker
Ai Champdany Industries Ltd,AICHAMP,47,https://trendlyne.com/research-reports/stock/47/AICHAMP/,3.91E+16,,,
Reliance Industries Ltd,RELIANCE,1127,https://trendlyne.com/research-reports/stock/1127/RELIANCE/,1.83E+13,,,
Hdfc Bank Ltd,HDFCBANK,533,https://trendlyne.com/research-reports/stock/533/HDFCBANK/,1.16E+13,,,
Bharti Airtel Ltd,BHARTIARTL,187,https://trendlyne.com/research-reports/stock/187/BHARTIARTL/,1.04E+13,Telecom Services,Telecom Services,532454
State Bank Of India,SBIN,1193,https://trendlyne.com/research-reports/stock/1193/SBIN/,9.40E+12,,,
Tata Consultancy Services Ltd,TCS,1372,https://trendlyne.com/research-reports/stock/1372/TCS/,8.87E+12,IT Consulting & Software,Software & Services,532540
Icici Bank Ltd,ICICIBANK,584,https://trendlyne.com/research-reports/stock/584/ICICIBANK/,8.71E+12,Banks,Banking and Finance,532174
Infosys Ltd,INFY,630,https://trendlyne.com/research-reports/stock/630/INFY/,5.26E+12,,,
Bajaj Finance Ltd,BAJFINANCE,150,https://trendlyne.com/research-reports/stock/150/BAJFINANCE/,5.14E+12,,,
Larsen Toubro Ltd,LT,800,https://trendlyne.com/research-reports/stock/800/LT/,4.97E+12,,,
Hindustan Unilever Ltd,HINDUNILVR,560,https://trendlyne.com/research-reports/stock/560/HINDUNILVR/,4.85E+12,,,
Life Insurance Corporation Of India,LICI,829878,https://trendlyne.com/research-reports/stock/829878/LICI/,4.65E+12,Life Insurance,Banking and Finance,543526
Sun Pharmaceutical Industries Ltd,SUNPHARMA,1316,https://trendlyne.com/research-reports/stock/1316/SUNPHARMA/,4.06E+12,Pharmaceuticals,Pharmaceuticals & Biotechnology,524715
Maruti Suzuki India Ltd,MARUTI,842,https://trendlyne.com/research-reports/stock/842/MARUTI/,3.97E+12,Cars & Utility Vehicles,Automobiles & Auto Components,532500
Hcl Technologies Ltd,HCLTECH,531,https://trendlyne.com/research-reports/stock/531/HCLTECH/,3.81E+12,IT Consulting & Software,Software & Services,532281
Axis Bank Ltd,AXISBANK,140,https://trendlyne.com/research-reports/stock/140/AXISBANK/,3.72E+12,Banks,Banking and Finance,532215
Itc Ltd,ITC,647,https://trendlyne.com/research-reports/stock/647/ITC/,3.67E+12,,,
Titan Company Ltd,TITAN,1403,https://trendlyne.com/research-reports/stock/1403/TITAN/,3.63E+12,,,
Oil And Natural Gas Corporation Ltd,ONGC,974,https://trendlyne.com/research-reports/stock/974/ONGC/,3.61E+12,,,
Kotak Mahindra Bank Ltd,KOTAKBANK,758,https://trendlyne.com/research-reports/stock/758/KOTAKBANK/,3.56E+12,,,
Ntpc Ltd,NTPC,959,https://trendlyne.com/research-reports/stock/959/NTPC/,3.49E+12,Power - Electric Utilities,Utilities,532555
Ultratech Cement Ltd,ULTRACEMCO,1443,https://trendlyne.com/research-reports/stock/1443/ULTRACEMCO/,3.13E+12,Cement & Cement Products,Cement and Construction,532538
Adani Power Ltd,ADANIPOWER,28,https://trendlyne.com/research-reports/stock/28/ADANIPOWER/,3.08E+12,Power - Electric Utilities,Utilities,533096
Bharat Electronics Ltd,BEL,175,https://trendlyne.com/research-reports/stock/175/BEL/,3.08E+12,,,
Adani Ports Special Economic Zone Ltd,ADANIPORTS,27,https://trendlyne.com/research-reports/stock/27/ADANIPORTS/,2.98E+12,Marine Port & Services,Transportation,532921
Avenue Supermarts Ltd,DMART,53208,https://trendlyne.com/research-reports/stock/53208/DMART/,2.84E+12,Department Stores,Retailing,540376
Jsw Steel Ltd,JSWSTEEL,699,https://trendlyne.com/research-reports/stock/699/JSWSTEEL/,2.79E+12,,,
Coal India Ltd,COALINDIA,275,https://trendlyne.com/research-reports/stock/275/COALINDIA/,2.77E+12,Coal & Mining,Metals & Mining,533278
Power Grid Corporation Of India Ltd,POWERGRID,1057,https://trendlyne.com/research-reports/stock/1057/POWERGRID/,2.70E+12,Power - Electric Utilities,Utilities,532898
Vedanta Ltd,VEDL,1289,https://trendlyne.com/research-reports/stock/1289/VEDL/,2.69E+12,,,
Bajaj Finserv Ltd,BAJAJFINSV,147,https://trendlyne.com/research-reports/stock/147/BAJAJFINSV/,2.63E+12,Holding Companies,Diversified,532978
Adani Enterprises Ltd,ADANIENT,26,https://trendlyne.com/research-reports/stock/26/ADANIENT/,2.50E+12,,,
Hindustan Aeronautics Ltd,HAL,80502,https://trendlyne.com/research-reports/stock/80502/HAL/,2.47E+12,Aerospace & Defence,General Industrials,541154
Bajaj Auto Ltd,BAJAJ-AUTO,144,https://trendlyne.com/research-reports/stock/144/BAJAJ-AUTO/,2.45E+12,2/3 Wheelers,Automobiles & Auto Components,532977
Tata Steel Ltd,TATASTEEL,1366,https://trendlyne.com/research-reports/stock/1366/TATASTEEL/,2.42E+12,,,
Nestle India Ltd,NESTLEIND,930,https://trendlyne.com/research-reports/stock/930/NESTLEIND/,2.30E+12,,,
Eternal Ltd,ETERNAL,589490,https://trendlyne.com/research-reports/stock/589490/ETERNAL/,2.24E+12,Internet & Catalogue Retail,Retailing,543320
Hindustan Zinc Ltd,HINDZINC,561,https://trendlyne.com/research-reports/stock/561/HINDZINC/,2.18E+12,,,
Asian Paints Ltd,ASIANPAINT,117,https://trendlyne.com/research-reports/stock/117/ASIANPAINT/,2.08E+12,,,
Hindalco Industries Ltd,HINDALCO,549,https://trendlyne.com/research-reports/stock/549/HINDALCO/,2.05E+12,,,
Wipro Ltd,WIPRO,1526,https://trendlyne.com/research-reports/stock/1526/WIPRO/,2.04E+12,,,
Indian Oil Corporation Ltd,IOC,639,https://trendlyne.com/research-reports/stock/639/IOC/,1.89E+12,Oil Marketing & Distribution,Oil & Gas,530965
Eicher Motors Ltd,EICHERMOT,360,https://trendlyne.com/research-reports/stock/360/EICHERMOT/,1.82E+12,,,
Sbi Life Insurance Company Ltd,SBILIFE,60957,https://trendlyne.com/research-reports/stock/60957/SBILIFE/,1.78E+12,Life Insurance,Banking and Finance,540719
Grasim Industries Ltd,GRASIM,490,https://trendlyne.com/research-reports/stock/490/GRASIM/,1.74E+12,,,
Shriram Finance Ltd,SHRIRAMFIN,1288,https://trendlyne.com/research-reports/stock/1288/SHRIRAMFIN/,1.68E+12,,,
Interglobe Aviation Ltd,INDIGO,1784,https://trendlyne.com/research-reports/stock/1784/INDIGO/,1.62E+12,Airlines,Transportation,539448
Amarjothi Spinning Mills Ltd,AMARJOTHI,69,https://trendlyne.com/research-reports/stock/69/AMARJOTHI/,0,,,
Tvs Motor Company Ltd,TVSMOTOR,1430,https://trendlyne.com/research-reports/stock/1430/TVSMOTOR/,1.61E+12,2/3 Wheelers,Automobiles & Auto Components,532343
Divi S Laboratories Ltd,DIVISLAB,336,https://trendlyne.com/research-reports/stock/336/DIVISLAB/,1.55E+12,Pharmaceuticals,Pharmaceuticals & Biotechnology,532488
Jio Financial Services Ltd,JIOFIN,1564869,https://trendlyne.com/research-reports/stock/1564869/JIOFIN/,1.46E+12,Finance (including NBFCs),Banking and Finance,543940
Tata Motors Ltd,TMCV,3327757,https://trendlyne.com/research-reports/stock/3327757/TMCV/,1.43E+12,Commercial Vehicles,Automobiles & Auto Components,544569
Advance Metering Technology Ltd,AMTL,77,https://trendlyne.com/research-reports/stock/77/AMTL/,0,,,
Tech Mahindra Ltd,TECHM,1374,https://trendlyne.com/research-reports/stock/1374/TECHM/,1.41E+12,IT Consulting & Software,Software & Services,532755
Adani Green Energy Ltd,ADANIGREEN,93115,https://trendlyne.com/research-reports/stock/93115/ADANIGREEN/,1.41E+12,Green & Renewable Energy,Utilities,541450
Icici Prudential Asset Management Company Ltd,ICICIAMC,3356197,https://trendlyne.com/research-reports/stock/3356197/ICICIAMC/,1.41E+12,Asset Management Cos.,Banking and Finance,544658
